StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Informed Consent,F_FB_C_D_1,F_FB_C_D_2,F_FB_C_D_3,F_FB_C_D_4,F_FB_C_D_5,F_FB_C_S_1,F_FB_C_S_2,F_FB_C_S_3,F_FB_C_S_4,F_FB_C_S_5,F_L_C_S_1,F_L_C_S_2,F_L_C_S_3,F_L_C_S_4,F_L_C_S_5,F_L_C_D_1,F_L_C_D_2,F_L_C_D_3,F_L_C_D_4,F_L_C_D_5,F_FB_D_D_1,F_FB_D_D_2,F_FB_D_D_3,F_FB_D_D_4,F_FB_D_D_5,F_FB_D_S_1,F_FB_D_S_2,F_FB_D_S_3,F_FB_D_S_4,F_FB_D_S_5,F_L_D_D_1,F_L_D_D_2,F_L_D_D_3,F_L_D_D_4,F_L_D_D_5,F_L_D_S_1,F_L_D_S_2,F_L_D_S_3,F_L_D_S_4,F_L_D_S_5,Fcontrol_1,Fcontrol_2,Fcontrol_3,Fcontrol_4,Fcontrol_5,MControl_1,MControl_2,MControl_3,MControl_4,MControl_5,M_FB_C_D_1,M_FB_C_D_2,M_FB_C_D_3,M_FB_C_D_4,M_FB_C_D_5,M_FB_C_S_1,M_FB_C_S_2,M_FB_C_S_3,M_FB_C_S_4,M_FB_C_S_5,M_L_C_D_1,M_L_C_D_2,M_L_C_D_3,M_L_C_D_4,M_L_C_D_5,M_L_D_S_1,M_L_D_S_2,M_L_D_S_3,M_L_D_S_4,M_L_D_S_5,M_L_C_S_1,M_L_C_S_2,M_L_C_S_3,M_L_C_S_4,M_L_C_S_5,M_L_D_D_1,M_L_D_D_2,M_L_D_D_3,M_L_D_D_4,M_L_D_D_5,M_FB_D_S_1,M_FB_D_S_2,M_FB_D_S_3,M_FB_D_S_4,M_FB_D_S_5,M_FB_D_D_1,M_FB_D_D_2,M_FB_D_D_3,M_FB_D_D_4,M_FB_D_D_5,Age,Country,Gender,Socialmedia,Selfietaking,Country - Topics,FL_6_DO,FemaleStimulus_DO,MaleStimulus_DO
03/05/2018 02:42,03/05/2018 02:44,IP Address,100,142,TRUE,03/05/2018 02:44,R_3hz5L2yqOs1SLbu,anonymous,EN,"I confirm that I have read and understand the participant information for this study (above). I have had the opportunity to ask questions if necessary and have had these answered satisfactorily,I understand that my participation is voluntary and that I am free to withdraw up to four weeks after participation without giving any reason. I understand that if I wish my data to be removed and destroyed, this will be possibly only if  I contact the researcher (Dr Ruth Page),I understand that my personal data will be processed for the purposes detailed above, in accordance with the Data Protection Act 1998,I understand that my answers may be quoted directly in conference presentations and publications, and that if this is the case, no personally identifiable information will be shared,I confirm that I am aged eighteen or over,I confirm that I am a native-level English speaker,Based on the above, I agree to take part in this study",Well,Not well,Not well,Not well,Not well,Well,Not well,Not well,Not well,Not well,Well,Not well,Not well,Not well,Not well,Well,Not well,Not well,Not well,Not well,Well,Not well,Not well,Not well,Not well,Well,Not well,Not well,Not well,Not well,Not well,Not well,Not well,Not well,Not well,Well,Not well,Not well,Not well,Not well,Not well,Not well,Not well,Not well,Not well,Not well,Well,Well,Well,Well,Not well,Not well,Not well,Not well,Not well,Well,Not well,Not well,Not well,Not well,Not well,Not well,Not well,Not well,Not well,Well,Well,Well,Well,Well,Not well,Not well,Not well,Not well,Not well,Not at all well,Not well,Not well,Well,Not well,Not well,Not well,Not well,Not well,Not well,Well,Not well,Not well,Not well,Not well,38,usa,Male,Facebook,Once a week,,MaleStimulus|FemaleStimulus,F_FB_C_S|F_FB_C_D|F_L_D_S|F_L_C_S|F_FB_D_S|F_FB_D_D|Fcontrol|F_L_C_D|F_L_D_D,M_L_C_D|M_FB_D_S|M_FB_C_S|M_L_D_D|M_FB_C_D|M_L_C_S|M_FB_D_D|MControl|M_L_D_S
03/05/2018 02:41,03/05/2018 02:47,IP Address,100,368,TRUE,03/05/2018 02:47,R_3Lceer53pjOaYSs,anonymous,EN,"I confirm that I have read and understand the participant information for this study (above). I have had the opportunity to ask questions if necessary and have had these answered satisfactorily,I understand that my participation is voluntary and that I am free to withdraw up to four weeks after participation without giving any reason. I understand that if I wish my data to be removed and destroyed, this will be possibly only if  I contact the researcher (Dr Ruth Page),I understand that my personal data will be processed for the purposes detailed above, in accordance with the Data Protection Act 1998,I understand that my answers may be quoted directly in conference presentations and publications, and that if this is the case, no personally identifiable information will be shared,I confirm that I am aged eighteen or over,I confirm that I am a native-level English speaker,Based on the above, I agree to take part in this study",Not well,Well,Well,Not well,Well,Not well,Well,Well,Not well,Well,Not well,Well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Well,Not well,Not well,Well,Not well,Neither well nor badly,Not well,Not well,Neither well nor badly,Neither well nor badly,Well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Not well,Well,Well,Not well,Not well,Not well,Not well,Well,Well,Not well,Not well,Well,Not well,Not well,Not well,Well,Not well,Neither well nor badly,Well,Not well,Not well,Well,Not well,Not well,Well,Not well,Well,Well,Not well,Well,Not well,Well,Neither well nor badly,Well,Not well,Not well,Well,Well,Not well,Not well,Not well,Not well,Well,Well,Not well,Not well,Not well,Not well,Well,Not well,Not well,Well,Well,Not well,Well,Not well,Well,Well,Not well,Not well,64,USA,Female,"Facebook,Instagram",Less than once a week,,FemaleStimulus|MaleStimulus,F_FB_D_D|F_L_C_S|F_L_D_S|F_L_C_D|Fcontrol|F_FB_D_S|F_FB_C_S|F_L_D_D|F_FB_C_D,M_FB_D_S|M_L_C_D|M_L_D_S|M_FB_D_D|M_FB_C_D|M_L_D_D|M_FB_C_S|MControl|M_L_C_S
03/05/2018 02:41,03/05/2018 02:47,IP Address,100,393,TRUE,03/05/2018 02:47,R_BPA2up4HPc7fqy5,anonymous,EN,"I confirm that I have read and understand the participant information for this study (above). I have had the opportunity to ask questions if necessary and have had these answered satisfactorily,I understand that my participation is voluntary and that I am free to withdraw up to four weeks after participation without giving any reason. I understand that if I wish my data to be removed and destroyed, this will be possibly only if  I contact the researcher (Dr Ruth Page),I understand that my personal data will be processed for the purposes detailed above, in accordance with the Data Protection Act 1998,I understand that my answers may be quoted directly in conference presentations and publications, and that if this is the case, no personally identifiable information will be shared,I confirm that I am aged eighteen or over,I confirm that I am a native-level English speaker,Based on the above, I agree to take part in this study",Neither well nor badly,Neither well nor badly,Neither well nor badly,Not well,Neither well nor badly,Very well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Not well,Not well,Not well,Neither well nor badly,Well,Neither well nor badly,Neither well nor badly,Not well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Not well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Very well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Not well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Well,Neither well nor badly,Not well,Neither well nor badly,Well,Not at all well,Neither well nor badly,Not well,Neither well nor badly,Not well,Well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Not well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Well,Neither well nor badly,Well,Not well,Neither well nor badly,Not well,Neither well nor badly,Well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,24,United States,Male,Twitter,Less than once a week,,MaleStimulus|FemaleStimulus,F_FB_D_D|F_L_D_D|F_L_D_S|Fcontrol|F_L_C_S|F_FB_C_S|F_L_C_D|F_FB_C_D|F_FB_D_S,M_FB_C_S|M_FB_D_D|M_L_C_S|M_L_D_D|M_L_C_D|M_FB_D_S|MControl|M_L_D_S|M_FB_C_D
03/05/2018 02:48,03/05/2018 02:52,IP Address,100,262,TRUE,03/05/2018 02:52,R_3HAA5E0PBo28cCX,anonymous,EN,"I confirm that I have read and understand the participant information for this study (above). I have had the opportunity to ask questions if necessary and have had these answered satisfactorily,I understand that my participation is voluntary and that I am free to withdraw up to four weeks after participation without giving any reason. I understand that if I wish my data to be removed and destroyed, this will be possibly only if  I contact the researcher (Dr Ruth Page),I understand that my personal data will be processed for the purposes detailed above, in accordance with the Data Protection Act 1998,I understand that my answers may be quoted directly in conference presentations and publications, and that if this is the case, no personally identifiable information will be shared,I confirm that I am aged eighteen or over,I confirm that I am a native-level English speaker,Based on the above, I agree to take part in this study",Neither well nor badly,Not well,Not well,Neither well nor badly,Well,Well,Neither well nor badly,Neither well nor badly,Not well,Neither well nor badly,Well,Not well,Neither well nor badly,Not well,Well,Not well,Neither well nor badly,Neither well nor badly,Not well,Neither well nor badly,Neither well nor badly,Not well,Not well,Not well,Neither well nor badly,Well,Neither well nor badly,Neither well nor badly,Not well,Neither well nor badly,Neither well nor badly,Not well,Not well,Neither well nor badly,Not well,Well,Neither well nor badly,Neither well nor badly,Not well,Neither well nor badly,Neither well nor badly,Not well,Neither well nor badly,Neither well nor badly,Not well,Not at all well,Not at all well,Neither well nor badly,Not at all well,Not well,Well,Well,Neither well nor badly,Not at all well,Very well,Neither well nor badly,Well,Neither well nor badly,Not at all well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Not at all well,Neither well nor badly,Neither well nor badly,Not well,Not well,Not at all well,Neither well nor badly,Well,Well,Well,Not well,Well,Not at all well,Not at all well,Not well,Not well,Not well,Well,Neither well nor badly,Neither well nor badly,Not at all well,Neither well nor badly,Well,Neither well nor badly,Neither well nor badly,Not at all well,Well,28,USA,Male,"Facebook,Instagram,Whatsapp",Once a week,,MaleStimulus|FemaleStimulus,Fcontrol|F_FB_C_S|F_FB_D_S|F_FB_C_D|F_L_D_D|F_FB_D_D|F_L_D_S|F_L_C_D|F_L_C_S,M_L_C_S|M_FB_D_S|M_FB_D_D|M_L_C_D|M_FB_C_D|MControl|M_FB_C_S|M_L_D_S|M_L_D_D
08/05/2018 02:48,08/05/2018 02:50,IP Address,100,158,TRUE,08/05/2018 02:50,R_cUeIA6xdgoPDCGB,anonymous,EN,"I confirm that I have read and understand the participant information for this study (above). I have had the opportunity to ask questions if necessary and have had these answered satisfactorily,I understand that my participation is voluntary and that I am free to withdraw up to four weeks after participation without giving any reason. I understand that if I wish my data to be removed and destroyed, this will be possibly only if  I contact the researcher (Dr Ruth Page),I understand that my personal data will be processed for the purposes detailed above, in accordance with the Data Protection Act 1998,I understand that my answers may be quoted directly in conference presentations and publications, and that if this is the case, no personally identifiable information will be shared,I confirm that I am aged eighteen or over,I confirm that I am a native-level English speaker,Based on the above, I agree to take part in this study",Not at all well,Not at all well,Not at all well,Not at all well,Not at all well,Not well,Not well,Not well,Not well,Not well,Not well,Not well,Not well,Not well,Not well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Not well,Not well,Not well,Not well,Not well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Well,Well,Well,Well,Well,Well,Well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Not at all well,Not at all well,Not at all well,Not at all well,Not at all well,Not at all well,Not at all well,Not at all well,Not at all well,Not at all well,Not at all well,Not at all well,Not at all well,Not at all well,Not at all well,Not at all well,Not at all well,Not at all well,Not at all well,Not at all well,Well,Well,Well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Neither well nor badly,Well,Neither well nor badly,Neither well nor badly,Not well,Not well,Not well,Not well,Not well,Not at all well,Not at all well,Not at all well,Not at all well,Not at all well,28,US,Male,Instagram,Less than once a week,,FemaleStimulus|MaleStimulus,F_L_C_D|F_L_D_D|F_FB_D_S|F_L_D_S|F_FB_C_D|Fcontrol|F_FB_D_D|F_FB_C_S|F_L_C_S,M_L_D_D|M_FB_D_S|M_L_D_S|M_L_C_S|MControl|M_FB_C_S|M_FB_D_D|M_L_C_D|M_FB_C_D
08/05/2018 02:47,08/05/2018 02:51,IP Address,100,214,TRUE,08/05/2018 02:51,R_1od8oKRSYyRxu5C,anonymous,EN,"I confirm that I have read and understand the participant information for this study (above). I have had the opportunity to ask questions if necessary and have had these answered satisfactorily,I understand that my participation is voluntary and that I am free to withdraw up to four weeks after participation without giving any reason. I understand that if I wish my data to be removed and destroyed, this will be possibly only if  I contact the researcher (Dr Ruth Page),I understand that my personal data will be processed for the purposes detailed above, in accordance with the Data Protection Act 1998,I understand that my answers may be quoted directly in conference presentations and publications, and that if this is the case, no personally identifiable information will be shared,I confirm that I am aged eighteen or over,I confirm that I am a native-level English speaker,Based on the above, I agree to take part in this study",Not well,Not well,Well,Neither well nor badly,Not well,Neither well nor badly,Well,Well,Not well,Well,Well,Not well,Well,Well,Not well,Not well,Neither well nor badly,Neither well nor badly,Well,Not at all well,Not well,Well,Neither well nor badly,Very well,Not at all well,Not well,Well,Very well,Neither well nor badly,Well,Not well,Neither well nor badly,Not at all well,Not well,Well,Not well,Well,Neither well nor badly,Well,Neither well nor badly,Not well,Neither well nor badly,Not well,Well,Neither well nor badly,Not well,Neither well nor badly,Not well,Neither well nor badly,Well,Not well,Neither well nor badly,Very well,Not well,Well,Not well,Well,Neither well nor badly,Not well,Well,Not well,Not well,Not at all well,Well,Well,Not well,Neither well nor badly,Not well,Not at all well,Well,Not well,Neither well nor badly,Well,Not at all well,Not well,Not well,Well,Well,Neither well nor badly,Not well,Not well,Neither well nor badly,Well,Not well,Neither well nor badly,Not well,Not well,Well,Neither well nor badly,Not at all well,23,us,Male,Facebook,Less than once a week,,MaleStimulus|FemaleStimulus,Fcontrol|F_L_C_S|F_FB_C_D|F_L_D_S|F_FB_D_S|F_L_C_D|F_L_D_D|F_FB_C_S|F_FB_D_D,M_FB_C_S|M_FB_D_D|MControl|M_L_C_D|M_L_C_S|M_L_D_S|M_FB_D_S|M_FB_C_D|M_L_D_D
08/05/2018 02:49,08/05/2018 02:51,IP Address,100,127,TRUE,08/05/2018 02:51,R_1fZrA518gyECX9l,anonymous,EN,"I confirm that I have read and understand the participant information for this study (above). I have had the opportunity to ask questions if necessary and have had these answered satisfactorily,I understand that my participation is voluntary and that I am free to withdraw up to four weeks after participation without giving any reason. I understand that if I wish my data to be removed and destroyed, this will be possibly only if  I contact the researcher (Dr Ruth Page),I understand that my personal data will be processed for the purposes detailed above, in accordance with the Data Protection Act 1998,I understand that my answers may be quoted directly in conference presentations and publications, and that if this is the case, no personally identifiable information will be shared,I confirm that I am aged eighteen or over,I confirm that I am a native-level English speaker,Based on the above, I agree to take part in this study",Well,Very well,Very well,Very well,Very well,Very well,Well,Well,Very well,Very well,Very well,Well,Well,Well,Very well,Well,Very well,Very well,Well,Well,Well,Very well,Very well,Well,Well,Well,Very well,Very well,Well,Well,Very well,Well,Very well,Very well,Very well,Very well,Well,Well,Very well,Very well,Well,Very well,Very well,Well,Very well,Well,Very well,Very well,Well,Well,Well,Well,Very well,Very well,Well,Well,Very well,Well,Well,Very well,Well,Very well,Well,Well,Very well,Well,Very well,Very well,Well,Well,Well,Very well,Very well,Well,Well,Well,Very well,Well,Well,Very well,Well,Very well,Well,Well,Very well,Well,Very well,Well,Well,Very well,43,USA,Male,"Facebook,Twitter,Tumblr,Instagram,Snapchat",Several times a week,,FemaleStimulus|MaleStimulus,F_L_D_D|Fcontrol|F_L_C_D|F_L_C_S|F_L_D_S|F_FB_D_S|F_FB_C_S|F_FB_C_D|F_FB_D_D,M_L_C_D|M_FB_C_S|M_FB_C_D|M_FB_D_D|MControl|M_FB_D_S|M_L_D_S|M_L_D_D|M_L_C_S
08/05/2018 02:50,08/05/2018 02:51,IP Address,100,77,TRUE,08/05/2018 02:51,R_1hXCmpqv1umXASr,anonymous,EN,"I confirm that I have read and understand the participant information for this study (above). I have had the opportunity to ask questions if necessary and have had these answered satisfactorily,I understand that my participation is voluntary and that I am free to withdraw up to four weeks after participation without giving any reason. I understand that if I wish my data to be removed and destroyed, this will be possibly only if  I contact the researcher (Dr Ruth Page),I understand that my personal data will be processed for the purposes detailed above, in accordance with the Data Protection Act 1998,I understand that my answers may be quoted directly in conference presentations and publications, and that if this is the case, no personally identifiable information will be shared,I confirm that I am aged eighteen or over,I confirm that I am a native-level English speaker,Based on the above, I agree to take part in this study",Not well,Neither well nor badly,Neither well nor badly,Not well,Neither well nor badly,Not well,Not well,Well,Neither well nor badly,Not well,Neither well nor badly,Not well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Not well,Very well,Neither well nor badly,Not well,Neither well nor badly,Not well,Not well,Not well,Well,Neither well nor badly,Not well,Neither well nor badly,Neither well nor badly,Well,Well,Not well,Not well,Well,Not well,Neither well nor badly,Neither well nor badly,Not well,Neither well nor badly,Very well,Not well,Not well,Not well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Not well,Not well,Not well,Not well,Not well,Well,Not well,Not well,Neither well nor badly,Not well,Neither well nor badly,Not well,Not well,Well,Not well,Not well,Neither well nor badly,Neither well nor badly,Neither well nor badly,Not well,Not well,Not well,Neither well nor badly,Not well,Not well,Not well,Not well,Not well,Not well,Not well,Neither well nor badly,Not well,Neither well nor badly,Not well,Not well,Neither well nor badly,Not well,Not well,Not well,Neither well nor badly,Neither well nor badly,Not well,Neither well nor badly,Not well,Not well,30,USA,Male,Instagram,Several times a week,,FemaleStimulus|MaleStimulus,F_FB_D_S|F_L_C_S|F_L_C_D|Fcontrol|F_L_D_S|F_FB_D_D|F_FB_C_S|F_FB_C_D|F_L_D_D,M_FB_C_D|MControl|M_FB_C_S|M_L_D_S|M_L_D_D|M_L_C_D|M_L_C_S|M_FB_D_D|M_FB_D_S
08/05/2018 02:46,08/05/2018 02:51,IP Address,100,282,TRUE,08/05/2018 02:51,R_3NP3TMPtShBU4zZ,anonymous,EN,"I confirm that I have read and understand the participant information for this study (above). I have had the opportunity to ask questions if necessary and have had these answered satisfactorily,I understand that my participation is voluntary and that I am free to withdraw up to four weeks after participation without giving any reason. I understand that if I wish my data to be removed and destroyed, this will be possibly only if  I contact the researcher (Dr Ruth Page),I understand that my personal data will be processed for the purposes detailed above, in accordance with the Data Protection Act 1998,I understand that my answers may be quoted directly in conference presentations and publications, and that if this is the case, no personally identifiable information will be shared,I confirm that I am aged eighteen or over,I confirm that I am a native-level English speaker,Based on the above, I agree to take part in this study",Very well,Very well,Not at all well,Not well,Very well,Not well,Well,Not well,Well,Not well,Not well,Well,Not well,Not well,Neither well nor badly,Very well,Not at all well,Not at all well,Very well,Not well,Not well,Not at all well,Well,Well,Not well,Not well,Well,Neither well nor badly,Neither well nor badly,Not at all well,Well,Not well,Not well,Well,Not at all well,Not well,Very well,Well,Neither well nor badly,Not well,Not at all well,Very well,Neither well nor badly,Not at all well,Not well,Well,Not at all well,Very well,Very well,Very well,Well,Not well,Not at all well,Not at all well,Very well,Well,Well,Very well,Well,Very well,Very well,Not at all well,Well,Very well,Very well,Not well,Well,Well,Very well,Very well,Very well,Well,Not at all well,Not well,Very well,Not well,Not at all well,Not well,Very well,Very well,Not well,Well,Very well,Not well,Very well,Not well,Very well,Very well,Not at all well,Very well,29,USA,Male,"Facebook,Twitter,Instagram",Less than once a week,,MaleStimulus|FemaleStimulus,F_FB_C_D|F_FB_D_D|F_FB_C_S|F_L_C_D|F_L_C_S|F_L_D_S|Fcontrol|F_L_D_D|F_FB_D_S,M_FB_C_D|M_FB_C_S|M_FB_D_S|M_L_C_S|MControl|M_FB_D_D|M_L_D_D|M_L_D_S|M_L_C_D
03/05/2018 03:48,08/05/2018 02:51,IP Address,100,428595,TRUE,08/05/2018 02:51,R_3D10ywdrVB3JCeO,anonymous,EN,"I confirm that I have read and understand the participant information for this study (above). I have had the opportunity to ask questions if necessary and have had these answered satisfactorily,I understand that my participation is voluntary and that I am free to withdraw up to four weeks after participation without giving any reason. I understand that if I wish my data to be removed and destroyed, this will be possibly only if  I contact the researcher (Dr Ruth Page),I understand that my personal data will be processed for the purposes detailed above, in accordance with the Data Protection Act 1998,I understand that my answers may be quoted directly in conference presentations and publications, and that if this is the case, no personally identifiable information will be shared,I confirm that I am aged eighteen or over,I confirm that I am a native-level English speaker,Based on the above, I agree to take part in this study",Not well,Not at all well,Not at all well,Not well,Very well,Not well,Neither well nor badly,Not well,Not well,Very well,Well,Not at all well,Not well,Well,Not well,Well,Not at all well,Not well,Very well,Not at all well,Well,Not at all well,Not well,Very well,Well,Well,Not at all well,Not well,Well,Well,Very well,Not at all well,Well,Well,Not at all well,Very well,Not at all well,Well,Well,Not at all well,Well,Neither well nor badly,Well,Not at all well,Not at all well,Very well,Not well,Well,Not well,Neither well nor badly,Not well,Well,Not at all well,Not well,Very well,Not at all well,Well,Neither well nor badly,Not at all well,Very well,Well,Not at all well,Not well,Not well,Neither well nor badly,Well,Not at all well,Not well,Well,Not at all well,Well,Not at all well,Not well,Not well,Well,Very well,Not at all well,Not well,Not well,Not at all well,Not well,Well,Well,Not at all well,Very well,Well,Well,Not well,Not at all well,Very well,28,United States,Male,"Facebook,Twitter,Instagram,Snapchat",Less than once a week,,MaleStimulus|FemaleStimulus,F_FB_C_S|F_L_D_S|F_FB_D_S|F_FB_C_D|F_L_C_D|F_L_C_S|F_L_D_D|F_FB_D_D|Fcontrol,MControl|M_FB_D_S|M_L_C_D|M_L_D_D|M_FB_D_D|M_L_D_S|M_FB_C_S|M_FB_C_D|M_L_C_S
